Northwick Park,51.578592,-0.315238
Sudbury & Harrow Road,51.554,-0.3167
Kenton,51.5818,-0.3167
St Margarets,51.455,-0.3204
Perivale,51.536723,-0.323423
Boston Manor,51.495765,-0.324747
Syon Lane,51.4818,-0.3248
Drayton Green,51.5165,-0.33
Castle Bar Park,51.5228,-0.3323
Sudbury Hill Harrow,51.5589,-0.3358
Sudbury Hill,51.557181,-0.336052
South Greenford,51.5342,-0.3369
Isleworth,51.4749,-0.337
Hanwell,51.5116,-0.3389
Greenford,51.5426,-0.3463
Osterley,51.481531,-0.349521
Hounslow East,51.473606,-0.356992
Hounslow Central,51.470288,-0.366686
Southall,51.506,-0.3783
Dagenham East,51.544188,0.165833
Belvedere,51.4927,0.1524
Dagenham Heathway,51.540619,0.147666
Dagenham Dock,51.5268,0.145
Bexleyheath,51.4635,0.1338
Chadwell Heath,51.5678,0.1292
Becontree,51.539783,0.127913
Albany Park,51.4358,0.1266
Sidcup,51.4338,0.104
Hainault,51.604004,0.094176
Grange Hill,51.613274,0.091276
Barkingside,51.586009,0.091227
Fairlop,51.59611,0.090593
Chigwell,51.618035,0.075939
Petts Wood,51.3889,0.0742
Chislehurst,51.4057,0.0573
Buckhurst Hill,51.626608,0.046775
Roding Valley,51.617807,0.044941
Bickley,51.3995,0.0441
Bromley South,51.4004,0.0181
Hayes,51.3765,0.0102
Chingford,51.6331,0.0094
West Wickham,51.3813,-0.0145
Eden Park,51.39,-0.0262
Brimsdown,51.6556,-0.0301
Ponders End,51.642,-0.0349
Southbury,51.6488,-0.0524
Bush Hill Park,51.6418,-0.0691
Enfield Town,51.6516,-0.0792
Enfield Chase,51.6529,-0.0908
East Croydon,51.3753,-0.093
South Croydon,51.3629,-0.0933
Gordon Hill,51.6632,-0.0943
Grange Park,51.6431,-0.0969
West Croydon,51.3785,-0.102
Waddon,51.3674,-0.117
Oakwood,51.64795,-0.132226
Cockfosters,51.652024,-0.149917
Wallington,51.3592,-0.1533
Carshalton,51.3686,-0.1659
Carshalton Beeches,51.3577,-0.1714
New Barnet,51.6488,-0.1738
High Barnet,51.6496,-0.174271
Sutton,51.3601,-0.1903
Belmont,51.344,-0.1986
West Sutton,51.3662,-0.2051
Cheam,51.356,-0.2147
Stoneleigh,51.3637,-0.2487
Edgware,51.613445,-0.275542
Tolworth,51.3771,-0.2793
Berrylands,51.3988,-0.2803
Norbiton,51.4124,-0.2838
Canons Park,51.607586,-0.294928
Stanmore,51.619673,-0.303099
Twickenham,51.4504,-0.3296
Harrow & Wealdstone,51.5921,-0.3347
Harrow-on-the-Hill,51.5794,-0.337
Strawberry Hill,51.4389,-0.3388
South Harrow,51.564665,-0.35276
West Harrow,51.58055,-0.353745
Headstone Lane,51.6019,-0.3566
Whitton,51.4495,-0.3578
Northolt Park,51.5574,-0.3595
North Harrow,51.585173,-0.362195
Hounslow,51.462,-0.3622
Northolt,51.548212,-0.368441
Rayners Lane,51.57515,-0.371114
Pinner,51.593156,-0.380835
Hounslow West,51.473105,-0.385708
Eastcote,51.576829,-0.39742
South Ruislip,51.5569,-0.3988
Ruislip Gardens,51.560737,-0.410695
Hayes & Harlington,51.5031,-0.4203
Hatton Cross,51.466738,-0.42317
Upminster,51.5588,0.2509
Upminster Bridge,51.558947,0.235237
Harold Wood,51.5928,0.2343
Emerson Park,51.5687,0.2204
Hornchurch,51.554356,0.218927
Gidea Park,51.582,0.2063
Elm Park,51.550318,0.198839
Rainham,51.5169,0.1905
Slade Green,51.4678,0.1904
Romford,51.5749,0.1827
Crayford,51.4483,0.1786
Erith,51.4816,0.1754
Barnehurst,51.4648,0.1595
Bexley,51.4403,0.1479
Knockholt,51.3459,0.1307
Epping,51.696195,0.112881
Chelsfield,51.3565,0.1076
St Mary Cray,51.3947,0.1058
Theydon Bois,51.671474,0.102349
Orpington,51.3741,0.0885
Debden,51.645492,0.083801
Loughton,51.63955,0.06041
Enfield Lock,51.6709,-0.0284
Turkey Street,51.6725,-0.0474
Whyteleafe South,51.3034,-0.0768
Upper Warlingham,51.3085,-0.078
Caterham,51.28214,-0.0783
Whyteleafe,51.3097,-0.0811
Sanderstead,51.3484,-0.094
Purley Oaks,51.3469,-0.0987
Riddlesdown,51.3323,-0.0996
Kenley,51.3246,-0.1007
Crews Hill,51.6845,-0.1072
Purley,51.3377,-0.1135
Reedham,51.3313,-0.1233
Coulsdon Town,51.3219,-0.134
Coulsdon South,51.3157,-0.138
Woodmansterne,51.3192,-0.1539
Chipstead,51.3093,-0.1693
Hadley Wood,51.6688,-0.1761
Kingswood,51.295,-0.211
Banstead,51.3292,-0.2132
Tadworth,51.292,-0.236
Epsom Downs,51.3237,-0.2389
Ewell East,51.3451,-0.2419
Tattenham Corner,51.3092,-0.2426
Ewell West,51.3502,-0.2569
Elstree & Borehamwood,51.6531,-0.2802
Chessington North,51.3642,-0.3005
Kingston,51.4129,-0.3019
Surbiton,51.3926,-0.3044
